Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
42;24393;"Journal of International Economics";journal;"18730353, 00221996";"Elsevier B.V.";No;No;4,321;Q1;179;120;287;5349;1285;283;3,90;44,58;20,29;58;Netherlands;Western Europe;"Elsevier B.V.";"1971-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
43;29400;"Journal of World Business";journal;"10909516";"Elsevier Inc.";No;No;4,297;Q1;158;39;176;4315;1929;173;9,18;110,64;36,00;0;United States;Northern America;"Elsevier Inc.";"1997-2026";"Business and International Management (Q1); Finance (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
44;23672;"RAND Journal of Economics";journal;"17562171, 07416261";"Wiley-Blackwell";No;No;4,173;Q1;135;28;85;1380;293;85;3,04;49,29;20,00;4;United States;Northern America;"Wiley-Blackwell";"1984-1985, 1987, 1989, 1991-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
45;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";"Taylor and Francis Ltd.";No;No;4,171;Q1;127;107;328;4485;1102;306;2,89;41,92;23,36;13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2026";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
46;21100926579;"Review of Corporate Finance Studies";journal;"20469136, 20469128";"Oxford University Press";No;No;4,122;Q1;30;27;70;1429;203;70;2,47;52,93;20,97;9;United States;Northern America;"Oxford University Press";"2012-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
47;29009;"Journal of Public Economics";journal;"00472727";"Elsevier B.V.";No;No;4,092;Q1;192;153;450;8650;2195;450;3,41;56,54;26,48;71;Netherlands;Western Europe;"Elsevier B.V.";"1972-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
48;4700152266;"Econometrics Journal";journal;"13684221, 1368423X";"Oxford University Press";No;No;4,051;Q1;53;26;105;1227;469;99;4,45;47,19;27,27;4;United Kingdom;Western Europe;"Oxford University Press";"2001, 2006-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
49;28096;"Accounting Review";journal;"00014826, 15587967";"American Accounting Association";No;No;4,045;Q1;217;109;359;7044;1717;356;3,87;64,62;27,42;0;United States;Northern America;"American Accounting Association";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
50;14834;"Journal of Development Economics";journal;"03043878";"Elsevier B.V.";No;No;3,945;Q1;196;148;392;8785;2472;392;4,70;59,36;31,81;89;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
51;29374;"Energy Economics";journal;"01409883, 18736181";"Elsevier B.V.";No;No;3,919;Q1;252;719;1733;46376;25798;1726;14,40;64,50;32,30;91;Netherlands;Western Europe;"Elsevier B.V.";"1979-2026";"Economics and Econometrics (Q1); Energy (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Energy"
52;28418;"Brookings Papers on Economic Activity";journal;"00072303, 15334465";"Brookings Institution Press";No;No;3,884;Q1;104;17;41;923;190;38;4,44;54,29;19,44;9;United States;Northern America;"Brookings Institution Press";"1990, 1992, 1996-2024";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
53;6400153126;"Theoretical Economics";journal;"15557561, 19336837";"";Yes;No;3,857;Q1;43;48;155;1811;222;155;1,36;37,73;19,77;0;United Kingdom;Western Europe;"";"2007-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
54;24406;"Journal of Urban Economics";journal;"10959068, 00941190";"Academic Press Inc.";No;No;3,854;Q1;148;65;174;3375;1041;170;4,70;51,92;23,29;28;United States;Northern America;"Academic Press Inc.";"1974-2026";"Economics and Econometrics (Q1); Urban Studies (Q1)";"Economics, Econometrics and Finance; Social Sciences"
55;11600153422;"Review of Environmental Economics and Policy";journal;"17506824, 17506816";"University of Chicago Press";No;No;3,488;Q1;80;19;64;1329;480;60;6,40;69,95;33,85;8;United States;Northern America;"University of Chicago Press";"2008-2026";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
56;28981;"Journal of Economic Theory";journal;"10957235, 00220531";"Academic Press Inc.";No;No;3,443;Q1;124;114;430;4784;633;429;1,19;41,96;14,29;10;United States;Northern America;"Academic Press Inc.";"1969-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
57;21100217630;"Strategic Entrepreneurship Journal";journal;"19324391, 1932443X";"John Wiley &amp; Sons Inc.";No;No;3,370;Q1;82;33;94;3331;583;91;5,38;100,94;32,22;2;United States;Northern America;"John Wiley &amp; Sons Inc.";"2008, 2011-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
58;21100861110;"Journal of the Association of Environmental and Resource Economists";journal;"23335963, 23335955";"University of Chicago Press";No;No;3,361;Q1;50;55;123;2906;474;122;3,04;52,84;30,83;24;United States;Northern America;"University of Chicago Press";"2015-2026";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";"Economics, Econometrics and Finance; Environmental Science"
59;21100932830;"Journal of Innovation and Knowledge";journal;"2444569X, 25307614";"Elsevier B.V.";Yes;No;3,341;Q1;89;172;313;15434;5864;313;18,10;89,73;38,91;6;Netherlands;Western Europe;"Elsevier B.V.";"2016-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
60;15298;"Structural Equation Modeling";journal;"15328007, 10705511";"Psychology Press Ltd";No;No;3,321;Q1;138;70;208;3646;1052;208;3,19;52,09;34,06;0;United Kingdom;Western Europe;"Psychology Press Ltd";"1994-2026";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
61;18034;"World Bank Research Observer";journal;"15646971, 02573032";"Oxford University Press";No;No;3,281;Q1;87;10;28;1206;250;28;6,28;120,60;39,39;10;United Kingdom;Western Europe;"Oxford University Press";"1986-2026";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
62;17496;"Journal of Corporate Finance";journal;"09291199";"Elsevier B.V.";No;No;3,246;Q1;166;125;558;8258;5009;554;5,71;66,06;28,74;14;Netherlands;Western Europe;"Elsevier B.V.";"1994-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
63;23666;"International Economic Review";journal;"14682354, 00206598";"Wiley-Blackwell Publishing Ltd";No;No;3,238;Q1;105;62;160;3164;320;160;1,59;51,03;22,14;16;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1979-1985, 1988-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
64;74502;"Financial Management";journal;"1755053X, 00463892";"John Wiley and Sons Inc";No;No;3,226;Q1;88;26;92;1751;441;92;5,05;67,35;22,54;0;United States;Northern America;"John Wiley and Sons Inc";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
65;28996;"Journal of Financial Intermediation";journal;"10960473, 10429573";"Academic Press Inc.";No;No;3,204;Q1;101;27;106;1724;377;106;3,86;63,85;17,91;5;United States;Northern America;"Academic Press Inc.";"1990-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
66;23352;"Journal of Environmental Economics and Management";journal;"10960449, 00950696";"Academic Press Inc.";No;No;3,165;Q1;168;130;301;7830;2026;299;5,90;60,23;29,56;48;United States;Northern America;"Academic Press Inc.";"1974-2026";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
67;26259;"Review of Economic Dynamics";journal;"10966099, 10942025";"Academic Press Inc.";No;No;3,080;Q1;84;22;212;977;476;210;1,98;44,41;10,81;8;United States;Northern America;"Academic Press Inc.";"1998-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
68;29113;"Contemporary Accounting Research";journal;"08239150, 19113846";"John Wiley and Sons Inc";No;No;3,069;Q1;141;82;267;5825;1351;266;4,25;71,04;31,74;1;Canada;Northern America;"John Wiley and Sons Inc";"1984-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
69;19600161806;"Journal of Family Business Strategy";journal;"18778585";"Elsevier Ltd";No;No;3,053;Q1;79;26;93;3003;903;90;6,75;115,50;46,43;0;United Kingdom;Western Europe;"Elsevier Ltd";"2010-2026";"Economics and Econometrics (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
70;23859;"Journal of Business Ethics";journal;"15730697, 01674544";"Springer Netherlands";No;No;3,039;Q1;304;310;1015;29024;9594;1004;8,50;93,63;43,68;19;Netherlands;Western Europe;"Springer Netherlands";"1982-2026";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
71;29104;"Small Business Economics";journal;"15730913, 0921898X";"Springer Netherlands";No;No;3,025;Q1;196;137;519;12856;4867;513;7,51;93,84;32,07;29;Netherlands;Western Europe;"Springer Netherlands";"1989-2026";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
72;21203;"Long Range Planning";journal;"00246301, 18731872";"Elsevier Ltd";No;No;2,909;Q1;142;53;172;5188;1473;166;6,77;97,89;30,77;0;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2026";"Finance (Q1); Geography, Planning and Development (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
73;26424;"Resources, Conservation and Recycling";journal;"18790658, 09213449";"Elsevier B.V.";No;No;2,872;Q1;245;505;1790;31979;24765;1776;12,78;63,32;36,90;56;Netherlands;Western Europe;"Elsevier B.V.";"1988-2026";"Economics and Econometrics (Q1); Waste Management and Disposal (Q1)";"Economics, Econometrics and Finance; Environmental Science"
74;21101167218;"Sustainable Technology and Entrepreneurship";journal;"27730328";"Elsevier B.V.";Yes;No;2,840;Q1;28;30;42;1987;611;42;14,55;66,23;37,80;1;Netherlands;Western Europe;"Elsevier B.V.";"2022-2026";"Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
75;19165;"International Journal of Production Economics";journal;"09255273";"Elsevier B.V.";No;No;2,833;Q1;264;280;871;19631;11276;862;11,25;70,11;30,61;7;Netherlands;Western Europe;"Elsevier B.V.";"1991-2026";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Engineering"
76;4000148307;"Family Business Review";journal;"17416248, 08944865";"SAGE Publications Inc.";No;No;2,718;Q1;140;16;55;2583;474;47;6,26;161,44;40,74;0;United States;Northern America;"SAGE Publications Inc.";"1988-2026";"Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
77;28464;"Econometric Theory";journal;"02664666, 14694360";"Cambridge University Press";No;No;2,674;Q1;87;57;113;2816;159;109;1,35;49,40;21,50;0;United Kingdom;Western Europe;"Cambridge University Press";"1985-2026";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
78;28092;"Economic Geography";journal;"00130095, 19448287";"Routledge";No;No;2,546;Q1;106;17;60;1383;500;60;8,40;81,35;28,21;3;United Kingdom;Western Europe;"Routledge";"1972, 1974, 1978-1985, 1987-2026";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";"Economics, Econometrics and Finance; Social Sciences"
